large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
この勇者が俺TUEEEくせに慎重すぎる,2019-10-03,12,278.1666667,248,59,187.1525424,60,,,,この勇者が俺TUEEEくせに慎重すぎる,SF/ファンタジー
プラスティック・メモリーズ,2015-04-12,60,105.8,82.5,69,65.14492754,47,18,33.38888889,9,プラスティック・メモリーズ,恋愛/ラブコメ
プラスティック・メモリーズ,2015-04-12,60,105.8,82.5,69,65.14492754,47,18,33.38888889,9,プラスティック・メモリーズ,SF/ファンタジー
プラスティック・メモリーズ,2015-04-12,60,105.8,82.5,69,65.14492754,47,18,33.38888889,9,プラスティック・メモリーズ,SF/ファンタジー
であいもん,2022-03-31,9,490.8888889,364,16,1097.375,728,15,1745.333333,334,であいもん,ドラマ/青春
とんかつDJアゲ太郎,2015-08-04,1,85,85,23,83.7826087,66,,,,とんかつDJアゲ太郎,コメディ/ギャグ
群れなせ!シートン学園,2019-12-23,3,251,232,3,1509,1989,,,,群れなせ!シートン学園,ドラマ/青春
群れなせ!シートン学園,2019-12-23,3,251,232,3,1509,1989,,,,群れなせ!シートン学園,ドラマ/青春
群れなせ!シートン学園,2019-12-23,3,251,232,3,1509,1989,,,,群れなせ!シートン学園,恋愛/ラブコメ
俺が好きなのは妹だけど妹じゃない,2018-10-11,2,563.5,563.5,40,497.75,420.5,,,,俺が好きなのは妹だけど妹じゃない,ドラマ/青春
俺が好きなのは妹だけど妹じゃない,2018-10-11,2,563.5,563.5,40,497.75,420.5,,,,俺が好きなのは妹だけど妹じゃない,恋愛/ラブコメ
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,SF/ファンタジー
HUNTER×HUNTER,2020-09-14,2,1853,1853,38,310,124,2,656,656,HUNTER×HUNTER,アクション/バトル
アイドールズ!,2021-01-08,5,41.6,36,74,34.66216216,18.5,,,,アイドールズ!,ドラマ/青春
フットサルボーイズ!!!!!,2021-10-10,23,126.4782609,110,63,114.968254,102,223,109.0179372,99,フットサルボーイズ!!!!!,ドラマ/青春
異世界薬局,2022-06-29,10,152.8,128.5,26,235.1153846,116.5,,,,異世界薬局,SF/ファンタジー
異世界薬局,2022-06-29,10,152.8,128.5,26,235.1153846,116.5,,,,異世界薬局,SF/ファンタジー
コードギアス,2021-10-09,5,894.2,606,97,1833.938144,1455,67,1004.477612,794,コードギアス,SF/ファンタジー
コードギアス,2021-10-09,5,894.2,606,97,1833.938144,1455,67,1004.477612,794,コードギアス,SF/ファンタジー
コードギアス,2021-10-09,5,894.2,606,97,1833.938144,1455,67,1004.477612,794,コードギアス,SF/ファンタジー
コードギアス,2021-10-09,5,894.2,606,97,1833.938144,1455,67,1004.477612,794,コードギアス,SF/ファンタジー
聖闘士星矢,2022-11-22,12,604.3333333,525,32,171.5,128.5,68,153.2352941,149,聖闘士星矢,ドラマ/青春
聖闘士星矢,2022-11-22,12,604.3333333,525,32,171.5,128.5,68,153.2352941,149,聖闘士星矢,SF/ファンタジー
