large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
ハコヅメ 〜交番女子の逆襲〜,2022-01-05,5,217.4,224.0,88,425.85227272727269,331.5,,,,漫画
つぐもも,2017-04-03,28,97.571428571428569,88.0,194,79.298969072165008,40.0,,,,漫画
ReLIFE,2016-05-27,13,333.61538461538458,252.0,18,766.3888888888888,357.0,,,,漫画
すばらしきこのせかい,2021-03-01,12,909.00000000000011,728.0,32,2105.8437499999995,976.0,53,3498.9056603773597,2148.0,ゲーム
BEASTARS,2019-08-06,21,3426.4285714285716,2210.0,9,4280.333333333333,3467.0,3,14575.0,14575.0,漫画
球詠,2019-09-26,2,241.0,241.0,17,451.41176470588243,74.0,,,,漫画
RWBY,2022-03-25,1,1427.0,1427.0,3,5738.3333333333339,1715.0,,,,アニメ
おくさまが生徒会長!,2015-08-14,26,22.61538461538461,19.0,410,36.063414634146348,21.0,,,,漫画
プリンセス・プリンシパル,2017-06-12,55,567.309090909091,397.0,17,280.41176470588238,276.0,,,,アニメ
ゆゆ式,2013-03-03,17,52.999999999999993,35.0,80,20.725000000000005,11.0,,,,漫画
ギルティクラウン,2011-08-12,9,34.333333333333336,34.0,18,25.888888888888886,16.5,,,,アニメ
ちはやふる,2011-11-01,24,29.000000000000011,12.0,75,44.199999999999996,33.0,,,,漫画
アクダマドライブ,2020-10-08,113,368.30973451327435,202.0,74,418.93243243243251,203.0,28,884.99999999999966,453.0,アニメ
ネコぱら,2019-12-12,13,295.46153846153845,260.0,11,760.4545454545455,351.0,10,1020.8000000000002,537.5,ゲーム
鬼斬,2016-04-11,7,47.714285714285715,40.0,16,194.375,118.0,,,,ゲーム
ハッピーシュガーライフ,2018-05-10,13,551.00000000000011,480.0,36,731.861111111111,405.5,,,,漫画
寄生獣,2014-09-19,6,81.333333333333329,61.0,12,254.33333333333334,165.0,,,,漫画
がっこうぐらし!,2015-06-26,75,650.30666666666673,347.0,43,192.81395348837211,155.0,,,,漫画
歌舞伎町シャーロック,2019-10-11,28,216.82142857142858,184.5,57,534.24561403508767,283.0,,,,アニメ
デカダンス,2020-07-30,8,522.37499999999989,467.5,104,272.22115384615381,147.0,,,,アニメ
俺を好きなのはお前だけかよ,2019-10-03,48,898.70833333333348,647.5,156,406.79487179487182,192.0,7,381.71428571428572,121.0,ライトノベル
魔法使い黎明期,2022-04-08,10,82.100000000000009,65.0,44,219.81818181818178,114.0,9,248.88888888888889,122.0,ライトノベル
NARUTO -ナルト-,2021-12-18,2,1095.0,1095.0,58,3254.7241379310349,1116.0,62,1247.5806451612902,1162.0,漫画
終末のワルキューレ,2022-11-14,6,1396.0,1396.0,42,669.42857142857122,500.5,,,,漫画
胡蝶綺 〜若き信長〜,2019-03-24,7,55.428571428571431,43.0,12,136.41666666666666,117.5,,,,アニメ
うたの☆プリンスさまっ♪,2020-02-03,3,12778.0,11630.0,23,9763.826086956522,6179.0,,,,ゲーム
【推しの子】,2021-03-04,6,1173.5,1173.5,54,1130.3333333333335,1091.5,60,950.85,565.0,漫画
かげきしょうじょ!,2021-06-27,10,758.5,523.0,37,670.56756756756749,414.0,24,399.41666666666669,77.5,漫画
あんさんぶるスターズ!,2019-06-17,76,4114.75,2688.5,15,16927.733333333337,18797.0,,,,ゲーム
モンスター娘のお医者さん,2020-06-10,29,187.06896551724134,61.0,33,325.27272727272725,192.0,18,289.05555555555566,113.0,ライトノベル
弱虫ペダル,2013-04-10,20,72.25,45.5,10,5.5,5.5,,,,漫画
創聖のアクエリオン,2011-11-10,42,30.142857142857146,21.0,52,21.153846153846157,11.0,16,61.125000000000014,29.0,アニメ
勇者、辞めます,2022-04-05,12,153.91666666666666,126.0,49,397.46938775510205,179.0,10,333.59999999999997,123.0,ライトノベル
乱歩奇譚 Game of Laplace,2015-07-10,27,308.51851851851859,242.0,101,167.13861386138618,110.0,,,,アニメ
恋と嘘,2017-04-21,6,954.33333333333326,866.5,26,312.92307692307696,220.0,,,,漫画
血界戦線,2015-02-04,42,959.28571428571422,198.0,228,187.37719298245628,78.5,,,,漫画
アクセル・ワールド,2011-12-09,24,6.3333333333333339,6.0,52,10.307692307692307,7.0,,,,ライトノベル
灼熱カバディ,2021-04-03,4,525.0,505.5,46,1331.6739130434785,937.5,17,2587.3529411764707,1195.0,漫画
銀河機攻隊 マジェスティックプリンス,2013-03-28,31,55.096774193548384,36.0,99,8.9090909090909065,4.0,,,,アニメ
ノー・ガンズ・ライフ,2019-10-16,14,280.57142857142856,276.0,64,189.5,108.0,,,,漫画
さんかく窓の外側は夜,2021-09-17,43,569.55813953488382,488.0,28,743.5,406.0,,,,漫画
蒼き鋼のアルペジオ,2013-07-28,41,32.951219512195124,21.0,21,35.38095238095238,13.0,,,,漫画
アルテ,2020-02-25,10,279.3,182.5,41,294.87804878048786,128.0,8,343.37499999999994,245.0,漫画
Code:Realize,2017-08-02,43,478.93023255813944,399.0,24,1310.3333333333333,1332.0,,,,ゲーム
波よ聞いてくれ,2020-03-09,4,188.75,180.0,42,206.90476190476193,119.0,,,,漫画
うちの娘の為ならば、俺はもしかしたら魔王も倒せるかもしれない。,2019-03-20,1,839.0,839.0,4,1795.25,801.5,,,,ライトノベル
あの日見た花の名前を僕達はまだ知らない。,2011-02-23,36,16.444444444444446,15.0,6,12.0,9.0,,,,アニメ
宇宙戦艦ティラミス,2018-03-23,34,195.44117647058823,91.0,33,351.93939393939388,150.0,,,,漫画
ベルゼブブ嬢のお気に召すまま。,2018-08-15,19,261.47368421052636,193.0,6,747.33333333333337,523.0,,,,漫画
不滅のあなたへ,2021-04-26,4,686.0,686.0,116,1020.9310344827586,348.0,64,591.0625,388.5,漫画
宝石の国,2017-10-07,35,2736.0,1962.0,99,1914.7474747474746,1542.0,,,,漫画
BNA ビー・エヌ・エー,2020-01-31,5,601.8,325.0,6,2010.0000000000002,805.5,,,,アニメ
弱キャラ友崎くん,2020-09-30,5,429.4,327.0,12,426.91666666666663,380.5,6,2848.5,1463.0,ライトノベル
先輩がうざい後輩の話,2021-02-06,3,463.33333333333337,402.0,11,1527.090909090909,964.0,4,10812.0,1495.5,漫画
かくしごと,2020-03-03,27,780.74074074074076,578.0,88,943.65909090909076,299.0,,,,漫画
ジャヒー様はくじけない!,2021-08-01,5,1622.6,1553.0,34,1408.4705882352941,636.5,,,,漫画
おかしなさばくのスナとマヌ,2021-02-11,1,143.0,143.0,7,48.571428571428569,47.0,,,,漫画
魔法少女 俺,2018-03-16,14,594.57142857142856,583.5,22,1102.2727272727273,855.5,,,,漫画
魔弾の王と戦姫,2014-09-05,10,48.9,40.5,37,60.972972972972983,34.0,,,,ライトノベル
はじめてのギャル,2017-06-23,128,200.484375,124.0,36,242.69444444444446,122.0,,,,漫画
ベルセルク,2023-04-14,3,922.0,922.0,18,663.66666666666663,578.0,18,564.83333333333337,516.5,漫画
ビッグオーダー,2016-04-21,14,33.357142857142861,16.5,17,76.705882352941188,18.0,,,,漫画
蟲師,2014-01-23,63,508.11111111111114,332.0,133,752.263157894737,305.0,,,,漫画
四月は君の嘘,2014-08-11,21,159.85714285714289,132.0,48,113.04166666666664,63.5,14,14.857142857142856,14.5,漫画
山田くんと7人の魔女,2014-08-01,6,41.0,35.0,38,67.973684210526329,38.5,,,,漫画
彼女、お借りします,2020-06-13,36,1391.4999999999995,976.5,351,3929.6923076923063,2761.0,180,4745.3833333333405,1249.0,漫画
灼熱の卓球娘,2016-10-04,23,485.04347826086973,433.0,105,78.399999999999991,17.0,,,,漫画
蜘蛛ですが、なにか?,2021-01-08,22,209.81818181818184,137.0,116,388.99999999999989,165.0,10,716.4,526.0,ライトノベル
王室教師ハイネ,2017-01-25,36,773.52777777777749,824.5,7,564.71428571428578,349.0,,,,漫画
灰と幻想のグリムガル,2016-01-11,47,342.63829787234044,276.0,98,187.13265306122437,96.0,,,,ライトノベル
サクラダリセット,2017-04-06,41,104.97560975609753,75.0,76,375.86842105263145,135.5,,,,ライトノベル
ひそねとまそたん,2018-04-04,8,819.625,682.0,40,740.82500000000016,136.5,,,,アニメ
4人はそれぞれウソをつく,2022-07-30,5,159.8,84.0,9,80.999999999999986,54.0,,,,漫画
夜桜四重奏 〜ヨザクラカルテット〜,2013-06-26,4,144.0,142.5,11,125.27272727272727,84.0,,,,漫画
聖女の魔力は万能です,2021-04-06,30,522.76666666666665,375.5,71,677.05633802816908,498.0,,,,ライトノベル
テレビ野郎 ナナーナ,2019-07-01,9,199.66666666666669,40.0,68,86.102941176470566,55.0,,,,アニメ
食戟のソーマ,2015-03-20,606,227.92079207920796,172.0,342,160.36842105263156,95.0,,,,漫画
ブブキ・ブランキ,2016-01-27,14,94.142857142857139,61.5,89,33.752808988764059,9.0,,,,アニメ
ゾンビランドサガ,2018-10-05,58,3247.48275862069,1949.0,100,458.40000000000026,166.5,,,,アニメ
はるかなレシーブ,2018-07-06,8,540.0,557.0,28,445.78571428571433,390.5,8,477.12500000000006,435.5,漫画
